"location","price_rank","property_name","property_type","price_inr","price_per_sqft"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
"Baguiati Kolkata","1","3 BHK Apartment for Sale in Baguiati Kolkata","3 BHK Apartment","6000000","8000"
